time,Number_of_points,LAT,LON,NUTS3_ID,ZS,beginning_of_season,end_of_season,mm_prod,total_winter_precipitation_amount,snow_precipitation_amount_nov_apr,sd_days_low,sd_days_medium,sd_days_high,swe_days_natural_high,mean_winter_tas,mean_feb_tas,smh_wbt_lower2
2005,4620,47.389816,12.023026,AT335,1000.0,129.0,238.0,260.28,350.9624,210.85449,142.0,110.0,26.0,34.0,273.3553,269.9677828,1053.0
2006,4620,47.389816,12.023026,AT335,1000.0,138.0,256.0,199.8,595.85474,305.52658,129.0,119.0,103.0,116.0,273.71725,272.70264,500.0
2007,4620,47.389816,12.023026,AT335,1000.0,156.0,229.0,302.4,510.9494,237.79819,100.0,74.0,68.0,67.0,274.59976,269.5805,568.0
2008,4620,47.389816,12.023026,AT335,1000.0,191.0,225.0,254.88,473.03802,184.53783,135.0,35.0,18.0,23.0,275.5979,271.32486,635.0
2009,4620,47.389816,12.023026,AT335,1000.0,150.0,250.0,245.16,426.91156,291.24954,161.0,105.0,43.0,65.0,270.66553,272.5846,1165.0
2010,4620,47.389816,12.023026,AT335,1000.0,176.0,247.0,354.24,620.5123,301.85397,131.0,72.0,52.0,67.0,275.31808,267.92303,681.0
2011,4620,47.389816,12.023026,AT335,1000.0,159.0,243.0,298.08,524.54443,305.47345,123.0,85.0,51.0,63.0,274.0469,273.44238,523.0
2012,4620,47.389816,12.023026,AT335,1000.0,178.0,252.0,312.12,470.2903,252.92989,148.0,75.0,66.0,72.0,274.5825,270.0521,644.0
2013,4620,47.389816,12.023026,AT335,1000.0,154.0,227.0,168.48,464.8199,280.78082,150.0,83.0,24.0,75.0,273.37064,272.94504,694.0
2014,4620,47.389816,12.023026,AT335,1000.0,154.0,252.0,220.32,600.80334,336.20422,147.0,99.0,90.0,93.0,272.93277,272.16342,769.0
2015,4620,47.389816,12.023026,AT335,1000.0,133.0,231.0,183.6,505.06802,255.50012,126.0,99.0,52.0,78.0,274.88275,268.4683,1063.0
2016,4620,47.389816,12.023026,AT335,1000.0,124.0,231.0,150.12,636.26917,354.26205,135.0,109.0,97.0,110.0,274.6678,271.78137,796.0
2017,4620,47.389816,12.023026,AT335,1000.0,148.0,230.0,266.76,502.9233,331.5439,135.0,83.0,66.0,68.0,274.20236,276.9674,830.0
2018,4620,47.389816,12.023026,AT335,1000.0,159.0,262.0,291.6,634.41077,421.96072,145.0,104.0,94.0,99.0,273.96152,273.26035,569.0
2019,4620,47.389816,12.023026,AT335,1000.0,139.0,242.0,197.64,510.08994,237.74738,120.0,104.0,75.0,86.0,273.75537,272.03595,498.0
2020,4620,47.389816,12.023026,AT335,1000.0,152.0,258.0,243.0,392.848,227.85217,130.0,107.0,85.0,104.0,272.23,267.2091,673.0
2005,3659,46.052776,6.432855,FRK28,1000.0,204.0,222.0,359.64,313.7272,94.42918,79.0,19.0,0.0,0.0,274.4212,269.9677828,915.0
2006,3659,46.052776,6.432855,FRK28,1000.0,172.0,227.0,306.72,704.9636,181.72633,100.0,65.0,4.0,40.0,274.58304,273.47278,351.0
2007,3659,46.052776,6.432855,FRK28,1000.0,0.0,0.0,411.48,604.1743,47.538086,34.0,0.0,0.0,0.0,275.77557,271.27246,435.0
2008,3659,46.052776,6.432855,FRK28,1000.0,0.0,0.0,440.64,483.99725,116.57705,49.0,0.0,0.0,0.0,276.33484,272.07306,584.0
2009,3659,46.052776,6.432855,FRK28,1000.0,160.0,239.0,293.76,527.98236,216.56694,127.0,84.0,0.0,56.0,271.4187,273.91574,1034.0
2010,3659,46.052776,6.432855,FRK28,1000.0,178.0,221.0,388.8,476.92044,188.53038,74.0,44.0,29.0,39.0,276.00708,268.69836,610.0
2011,3659,46.052776,6.432855,FRK28,1000.0,195.0,217.0,332.64,329.41626,104.481224,73.0,28.0,0.0,20.0,275.07434,273.6509,463.0
2012,3659,46.052776,6.432855,FRK28,1000.0,179.0,191.0,347.76,578.36743,121.4327,81.0,18.0,0.0,2.0,275.61456,270.38834,409.0
2013,3659,46.052776,6.432855,FRK28,1000.0,0.0,0.0,348.84,432.49408,107.87454,31.0,0.0,0.0,0.0,274.40924,274.25595,599.0
2014,3659,46.052776,6.432855,FRK28,1000.0,172.0,245.0,340.2,496.5353,181.41168,101.0,82.0,0.0,70.0,273.48758,273.03104,587.0
2015,3659,46.052776,6.432855,FRK28,1000.0,0.0,0.0,328.32,576.6948,90.93075,80.0,0.0,0.0,0.0,275.8277,269.2212,886.0
2016,3659,46.052776,6.432855,FRK28,1000.0,0.0,0.0,584.28,747.0339,141.28613,68.0,0.0,0.0,0.0,275.77377,272.898,616.0
2017,3659,46.052776,6.432855,FRK28,1000.0,161.0,191.0,303.48,707.1131,149.41267,92.0,31.0,2.0,42.0,275.07263,277.51343,585.0
2018,3659,46.052776,6.432855,FRK28,1000.0,0.0,0.0,365.04,667.84686,156.70898,82.0,0.0,0.0,0.0,274.37833,274.53128,510.0
2019,3659,46.052776,6.432855,FRK28,1000.0,0.0,0.0,387.72,561.3919,95.98229,90.0,0.0,0.0,0.0,274.8327,272.75742,348.0
2020,3659,46.052776,6.432855,FRK28,1000.0,215.0,236.0,317.52,643.04614,215.18346,102.0,22.0,0.0,24.0,272.96448,269.78818,396.0
2005,6439,63.25736,14.311148,SE322,300.0,0.0,0.0,332.64,115.95566,58.41051,164.0,0.0,0.0,0.0,273.5742,269.9677828,508.0
2006,6439,63.25736,14.311148,SE322,300.0,138.0,260.0,241.92,188.2922,127.039894,178.0,123.0,31.0,63.0,269.63422,270.12415,954.0
2007,6439,63.25736,14.311148,SE322,300.0,214.0,239.0,273.24,174.64099,78.25789,159.0,27.0,0.0,2.0,272.1611,267.51483,495.0
2008,6439,63.25736,14.311148,SE322,300.0,146.0,273.0,287.28,291.63156,169.2641,166.0,128.0,58.0,97.0,272.47507,266.75665,919.0
2009,6439,63.25736,14.311148,SE322,300.0,126.0,258.0,234.36,107.341515,79.92423,179.0,139.0,80.0,84.0,266.8096,273.60355,1029.0
2010,6439,63.25736,14.311148,SE322,300.0,169.0,255.0,213.84,193.7749,129.13933,162.0,87.0,56.0,90.0,272.12833,259.31113,972.0
2011,6439,63.25736,14.311148,SE322,300.0,161.0,277.0,240.84,209.06146,154.02843,178.0,117.0,89.0,105.0,272.40765,271.3518,778.0
2012,6439,63.25736,14.311148,SE322,300.0,133.0,269.0,181.44,211.26218,167.17802,178.0,141.0,124.0,127.0,271.75085,272.98453,975.0
2013,6439,63.25736,14.311148,SE322,300.0,166.0,249.0,254.88,177.63754,99.7833,163.0,84.0,10.0,48.0,271.86697,274.32068,1018.0
2014,6439,63.25736,14.311148,SE322,300.0,171.0,254.0,303.48,171.94733,113.85565,155.0,84.0,2.0,21.0,269.54684,269.4726,761.0
2015,6439,63.25736,14.311148,SE322,300.0,195.0,256.0,321.84,178.68199,94.85695,137.0,62.0,0.0,46.0,270.81342,262.13016,816.0
